Toil_free60; Alfa_free60; Toil_free50; Alfa_free50; Toil_free40; Alfa_free40; Toil_free30; Alfa_free30; Toil_free20; Alfa_free20
46.0604; 1.79435; 46.9629; 1.87427; 48.11; 1.98101; 49.3577; 2.10401; 50.9587; 2.2731
46.7; 1.85064; 47.5848; 1.9314; 48.7084; 2.03907; 49.9298; 2.16293; 51.496; 2.33283
47.3287; 1.90767; 48.196; 1.98925; 49.2968; 2.09783; 50.4924; 2.2225; 52.0247; 2.39314
47.9467; 1.96545; 48.7969; 2.04781; 49.8753; 2.15725; 51.0458; 2.28268; 52.5449; 2.45401
48.5541; 2.02394; 49.3877; 2.10705; 50.4441; 2.21732; 51.5902; 2.34346; 53.0569; 2.51543
49.1512; 2.08314; 49.9685; 2.16698; 51.0035; 2.27802; 52.1256; 2.40484; 53.5607; 2.57737
49.7382; 2.14302; 50.5395; 2.22755; 51.5537; 2.33934; 52.6524; 2.46678; 54.0566; 2.63983
50.3153; 2.20357; 51.101; 2.28877; 52.0948; 2.40126; 53.1706; 2.52929; 54.5448; 2.70278
50.8827; 2.26477; 51.6532; 2.3506; 52.627; 2.46376; 53.6805; 2.59232; 55.0253; 2.76621
51.4406; 2.3266; 52.1962; 2.41304; 53.1505; 2.52682; 54.1822; 2.65588; 55.4983; 2.83012
51.9892; 2.38905; 52.7302; 2.47606; 53.6654; 2.59044; 54.6759; 2.71995; 55.964; 2.89447
52.5287; 2.45209; 53.2554; 2.53965; 54.172; 2.65458; 55.1618; 2.7845; 56.4225; 2.95926
53.0592; 2.51571; 53.772; 2.60379; 54.6705; 2.71923; 55.6399; 2.84953; 56.8739; 3.02447
53.5809; 2.57989; 54.2801; 2.66847; 55.1608; 2.78438; 56.1105; 2.91501; 57.3185; 3.09009
53.3069; 2.54598; 54.0988; 2.64521; 55.0679; 2.77192; 56.0835; 2.91123; 57.3392; 3.09318
52.505; 2.4493; 53.4479; 2.56337; 54.5893; 2.70859; 55.7679; 2.8672; 57.1917; 3.07122
51.6475; 2.34996; 52.7179; 2.4746; 54.0115; 2.63409; 55.347; 2.80952; 56.9566; 3.03657
50.8036; 2.25614; 51.9871; 2.38881; 53.4151; 2.55932; 54.8909; 2.74832; 56.6769; 2.99583
49.9824; 2.16844; 51.2706; 2.30758; 52.8222; 2.48709; 54.426; 2.68732; 56.3751; 2.9525
49.1843; 2.08647; 50.5707; 2.23091; 52.2386; 2.41799; 53.9622; 2.62782; 56.0633; 2.90839
48.4086; 2.00977; 49.8874; 2.15851; 51.6657; 2.35203; 53.5032; 2.57023; 55.7478; 2.86441
47.6545; 1.93791; 49.2203; 2.0901; 51.1037; 2.28906; 53.0503; 2.51463; 55.4318; 2.82105
46.9213; 1.87051; 48.569; 2.02539; 50.5523; 2.22892; 52.6037; 2.461; 55.1172; 2.77851
46.2083; 1.80722; 47.9329; 1.96414; 50.0113; 2.17146; 52.1637; 2.40926; 54.8046; 2.7369
45.5148; 1.74771; 47.3117; 1.9061; 49.4805; 2.11652; 51.73; 2.35933; 54.4947; 2.69626
44.8403; 1.69171; 46.7048; 1.85106; 48.9597; 2.06396; 51.3025; 2.31114; 54.1876; 2.65657
44.184; 1.63894; 46.112; 1.79884; 48.4486; 2.01365; 50.8813; 2.26461; 53.8833; 2.61783
43.5454; 1.58918; 45.5329; 1.74923; 47.9469; 1.96547; 50.4661; 2.21967; 53.5819; 2.58001
42.9239; 1.54221; 44.9669; 1.70208; 47.4546; 1.9193; 50.0569; 2.17624; 53.2835; 2.5431
42.319; 1.49782; 44.4139; 1.65724; 46.9713; 1.87504; 49.6535; 2.13427; 52.9879; 2.50706
41.7302; 1.45584; 43.8735; 1.61455; 46.4969; 1.83258; 49.2559; 2.09369; 52.6951; 2.47188
41.1569; 1.41609; 43.3452; 1.57389; 46.0312; 1.79183; 48.8639; 2.05444; 52.4052; 2.43751
