move_time_iter: 180
free_time_iter: 180
move_time_iter: 180
free_time_iter: 150
move_time_iter: 180
free_time_iter: 120
move_time_iter: 180
free_time_iter: 90
move_time_iter: 180
free_time_iter: 60
Toil_free60; Alfa_free60; Toil_free50; Alfa_free50; Toil_free40; Alfa_free40; Toil_free30; Alfa_free30; Toil_free20; Alfa_free20
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147; 95.2769; 19.3147
77.6012; 8.22738; 77.6012; 8.22738; 77.6012; 8.22738; 77.6012; 8.22738; 77.6012; 8.22738
64.7174; 4.41684; 64.7174; 4.41684; 64.7174; 4.41684; 64.7174; 4.41684; 64.7174; 4.41684
55.3771; 2.81361; 55.3771; 2.81361; 55.3771; 2.81361; 55.3771; 2.81361; 55.3771; 2.81361
48.3659; 2.00563; 48.3659; 2.00563; 48.3659; 2.00563; 48.3659; 2.00563; 48.3659; 2.00563
42.9397; 1.54338; 42.9397; 1.54338; 42.9397; 1.54338; 42.9397; 1.54338; 42.9397; 1.54338
