Toil_alone; Alfa_alone; Toil_6min; Alfa_6min; Toil_8min; Alfa_8min; Toil_10min; Alfa_10min; Toil_12min; Alfa_12min
43.6195; 3.16218; 37.1018; 0.821368; 33.39; 0.65599; 31.1114; 0.548504; 29.1158; 0.449898
43.1481; 3.09103; 36.318; 0.81353; 32.7225; 0.649315; 30.5148; 0.542537; 28.5808; 0.444548
42.6859; 3.02282; 35.5694; 0.806044; 32.0848; 0.642938; 29.9445; 0.536835; 28.0693; 0.439433
42.2327; 2.9574; 34.8541; 0.798891; 31.4752; 0.636842; 29.3993; 0.531383; 27.5801; 0.434541
42.4205; 2.98433; 36.0917; 0.811267; 32.531; 0.6474; 30.3453; 0.540842; 28.431; 0.44305
43.1926; 3.09768; 37.9529; 0.829878; 34.1184; 0.663274; 31.7672; 0.555062; 29.7096; 0.455836
44.1174; 3.23912; 39.7579; 1.3236; 35.6568; 0.678657; 33.1445; 0.568835; 30.9474; 0.468214
45.0763; 3.39261; 41.4923; 1.43921; 37.1338; 0.693429; 34.4664; 0.582054; 32.135; 0.48009
46.0366; 3.55361; 43.1585; 1.55977; 38.552; 0.70761; 35.735; 0.59474; 33.2744; 0.491484
46.9893; 3.72088; 44.7592; 1.6851; 39.9137; 0.721227; 36.9527; 0.606917; 34.3677; 0.502417
47.9319; 3.89414; 46.2972; 1.81499; 41.2213; 0.734303; 38.1218; 0.618608; 35.417; 0.51291
48.8639; 4.07336; 47.7752; 1.94924; 42.4774; 1.2154; 39.2443; 0.629833; 36.4243; 0.522983
49.785; 4.2586; 49.1956; 2.0876; 43.6839; 1.28831; 40.3223; 0.640613; 37.3915; 0.532655
50.6953; 4.44995; 50.5608; 2.22984; 44.8432; 1.36247; 41.3579; 0.650969; 38.3204; 0.541944
51.595; 4.6475; 51.8733; 2.37571; 45.9573; 1.43777; 42.3529; 0.660919; 39.2126; 0.550866
52.4841; 4.85135; 53.1352; 2.52496; 47.0282; 1.51406; 43.309; 0.67048; 40.07; 0.55944
53.3627; 5.06158; 54.3488; 2.67733; 48.0578; 1.59123; 44.2282; 1.14635; 40.894; 0.56768
54.231; 5.27828; 55.5162; 2.83256; 49.0479; 1.66914; 45.112; 1.19632; 41.6861; 0.575601
55.0891; 5.50155; 56.6393; 2.9904; 50.0003; 1.74768; 45.9619; 1.24644; 42.4479; 0.583219
55.9371; 5.73146; 57.7202; 3.1506; 50.9167; 1.82674; 46.7797; 1.29664; 43.1807; 0.590547
56.7751; 5.9681; 58.7606; 3.3129; 51.7986; 1.90621; 47.5666; 1.34685; 43.8858; 0.597598
57.6032; 6.21155; 59.7623; 3.47707; 52.6477; 1.98597; 48.3241; 1.39702; 44.5644; 0.604385
58.4215; 6.46189; 60.7271; 3.64286; 53.4653; 2.06594; 49.0535; 1.44709; 45.2179; 0.610919
59.2302; 6.71918; 61.6565; 3.81005; 54.2529; 2.14602; 49.7561; 1.49702; 45.8473; 0.617213
60.0294; 6.98351; 62.5522; 3.97842; 55.0119; 2.22611; 50.433; 1.54676; 46.4537; 1.11765
60.1189; 7.01375; 61.2487; 3.73577; 53.9245; 2.11226; 49.4728; 1.47668; 45.6014; 0.614754
59.5828; 6.83455; 59.3151; 3.40279; 52.2997; 1.95288; 48.0312; 1.3774; 44.3166; 0.601906
58.8979; 6.61222; 57.4749; 3.11351; 50.7509; 1.81218; 46.6559; 1.28891; 43.0899; 0.589639
58.1868; 6.38906; 55.7346; 2.86259; 49.2844; 1.68831; 45.3527; 1.21031; 41.9267; 0.578008
57.4806; 6.1749; 54.0875; 2.64376; 47.8948; 1.57876; 44.117; 0.67856; 40.8232; 0.566972
56.7868; 5.97147; 52.5275; 2.45195; 46.5773; 1.48146; 42.9446; 0.666836; 39.7756; 0.556496
56.1068; 5.7786; 51.0489; 2.28301; 45.3272; 1.39469; 41.8315; 0.655705; 38.7805; 0.546545
55.4406; 5.59571; 49.6464; 2.13354; 44.1403; 1.31701; 40.7741; 0.645131; 37.8347; 0.537088
54.7881; 5.42216; 48.3154; 2.00074; 43.0128; 1.24724; 39.769; 0.63508; 36.9353; 0.528093
54.1488; 5.25735; 47.0511; 1.88228; 41.941; 0.7415; 38.8131; 0.625521; 36.0795; 0.519535
53.5223; 5.10073; 45.8497; 1.77619; 40.9216; 0.731306; 37.9034; 0.616424; 35.2647; 0.511387
52.9085; 4.95178; 44.707; 1.68086; 39.9513; 0.721603; 37.0372; 0.607762; 34.4886; 0.503626
52.3069; 4.81003; 43.6197; 1.59489; 39.0272; 0.712363; 36.2119; 0.599509; 33.7488; 0.496228
51.7174; 4.67504; 42.5843; 1.51712; 38.1467; 0.703557; 35.4252; 0.591641; 33.0433; 0.489173
51.1395; 4.5464; 41.5977; 1.44655; 37.3072; 0.695162; 34.6747; 0.584137; 32.3702; 0.482442
50.573; 4.42374; 40.657; 1.38233; 36.5063; 0.687153; 33.9585; 0.576975; 31.7276; 0.476016
50.0176; 4.3067; 39.7596; 1.32371; 35.7417; 0.679507; 33.2746; 0.570136; 31.1137; 0.469877
49.4731; 4.19496; 38.903; 0.83938; 35.0114; 0.672204; 32.6211; 0.563601; 30.527; 0.46401
48.9392; 4.08821; 38.0847; 0.831197; 34.3135; 0.665225; 31.9964; 0.557354; 29.966; 0.4584
48.4157; 3.98617; 37.3026; 0.823376; 33.6461; 0.658551; 31.3989; 0.551379; 29.4292; 0.453032
47.9023; 3.88858; 36.5547; 0.815897; 33.0076; 0.652166; 30.827; 0.54566; 28.9154; 0.447894
48.0474; 3.91591; 37.7742; 0.828092; 34.0458; 0.662548; 31.7559; 0.554949; 29.7497; 0.456237
48.7893; 4.05871; 39.6199; 1.31481; 35.6178; 0.678268; 33.1626; 0.569016; 31.0134; 0.468874
49.6856; 4.23821; 41.4087; 1.43341; 37.1402; 0.693492; 34.5243; 0.582633; 32.2359; 0.481099
50.616; 4.43295; 43.1262; 1.55735; 38.6009; 0.708099; 35.8302; 0.595692; 33.408; 0.49282
51.5478; 4.63692; 44.775; 1.68639; 40.0023; 0.722113; 37.0826; 0.608216; 34.5317; 0.504057
52.4718; 4.84846; 46.3579; 1.82032; 41.3469; 0.735559; 38.2839; 0.620229; 35.6092; 0.514832
53.3856; 5.06716; 47.8776; 1.9589; 42.6373; 1.22482; 39.4363; 0.631753; 36.6426; 0.525166
54.2886; 5.29296; 49.3368; 2.10189; 43.8757; 1.30029; 40.542; 0.64281; 37.6338; 0.535078
55.1807; 5.52593; 50.7382; 2.24902; 45.0645; 1.37711; 41.6031; 0.653421; 38.5849; 0.544588
56.062; 5.76612; 52.0841; 2.40002; 46.2058; 1.45512; 42.6216; 0.663606; 39.4975; 0.553715
56.9325; 6.01364; 53.377; 2.55461; 47.3018; 1.5342; 43.5995; 0.673385; 40.3735; 0.562475
